Story	StoryHeight_m	LengthX_m	LengthY_m	Perimeter_m	Area(from alpha shape)_m^2	Area(from table)_m^2
MDECK	3.1	41.632786	26.10874462	90.63556561	268.8073717	236.75
RDECK	3.6	55.872915	39.62066031	149.9017201	966.9590215	904.42
63RD	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
62ND	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
61ST	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
60TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
59TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
58TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
57TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
56TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
55TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
54TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
53RD	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
52ND	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
51ST	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
50TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
49TH	3.6	55.872915	39.62066031	149.9017201	966.9590215	841.02
48TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
47TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
46TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
45TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
43RD	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
42ND	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
41ST	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
40TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
39TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
38TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
37TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
36TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	841.02
35TH	3.6	55.872915	39.62066031	149.9017201	966.9590215	841.02
34TH	3.6	55.872915	39.62066031	149.9017201	966.9590215	780.03
33RD	3.6	55.872915	39.62066031	149.9017201	966.9590215	841.02
32ND	3.6	55.872915	39.62066031	149.9017201	966.9590215	794.54
31ST	3.6	55.872915	39.62066031	149.9017201	966.9590215	841.02
30TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
29TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
28TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
27TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
26TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
25TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
24TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
23RD	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
22ND	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
21ST	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
20TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
19TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
18TH	3.6	55.872915	39.62066031	149.9017201	966.9590215	794.54
17TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
16TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
15TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
14TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
12TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
11TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
10TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
9TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
8TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
7TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
6TH	3.1	55.872915	39.62066031	149.9017201	966.9590215	794.54
5TH	3.6	55.872915	39.62066031	149.9017201	966.9590215	794.54
4TH	3.6	55.872915	39.62066031	149.9017201	966.9590215	794.54
3RD	4.5	56.8147	54.12571096	201.366672	2332.740066	2163.54
2ND	3.5	56.8147	54.12571096	277.5447198	1591.534557	1221.93
GROUND	4.55	75.9845	104.2514634	368.1261035	4969.046234	4788.19
B1	4	75.9845	104.2514634	368.1260961	4969.046292	4788.19
B2	3.6	75.9845	104.2514634	368.1260961	4969.046292	4788.19
B3	3.1	75.9845	104.2514634	368.1260961	4969.046292	4788.19
B4	3.1	75.9845	104.2514634	368.1260961	4969.046292	4788.19
